binary,telemetry_type,policy_count,payload_bytes,rps,p50_ms,p99_ms,success_pct,cpu_pct,mem_mb,echo_requests,echo_bytes
edge-otlp,OTLP Logs,0,4081,30930,1.57,3.8,100,30.0,9.8,1000,4080000
edge-otlp,OTLP Metrics,0,3505,30200,1.59,3.87,100,30.0,8.8,1000,3504000
edge-datadog,DD Logs,0,2739,26686,1.68,4.27,100,70.0,10.1,1000,2738000
edge-datadog,DD Metrics,0,1863,26999,1.62,4.89,100,80.0,10.1,1000,1862000
otelcol,OTLP Logs,0,4081,44381,1.01,2.02,100,0,0,100,1757000
otelcol,DD Logs,0,2739,21332,1.58,3.66,100,0,0,100,2170000
vector,OTLP Logs,0,4081,54527,0.82,2.29,100,50.0,100.9,1,4169001
vector,DD Logs,0,2739,53008,0.88,1.71,100,40.0,72.9,1,3237001
edge-otlp,OTLP Logs,10,4081,29945,1.53,3.45,100,30.0,12.9,1000,4017018
edge-otlp,OTLP Metrics,10,3505,30198,1.55,3.86,100,30.0,11.9,1000,3803000
edge-datadog,DD Logs,10,2739,28000,1.65,3.7,100,60.0,13.1,1000,2021118
edge-datadog,DD Metrics,10,1863,28455,1.62,3.96,100,60.0,13.1,1000,1862000
otelcol,OTLP Logs,10,4081,42011,1.1,2.09,100,0,0,100,1757000
otelcol,DD Logs,10,2739,19909,1.86,3.8,100,0,0,100,2170000
vector,OTLP Logs,10,4081,56510,0.79,2.06,100,80.0,81.7,1,1173201
vector,DD Logs,10,2739,53411,0.85,1.84,100,110.0,66.2,1,333525
